new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,hosp_patients,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,population
44440,40489.571,866,821.571,1.06,8026,26093,0.0428,23.4,0,0,0,0,0,0,62.5,332915074
51171,41365.714,960,793.571,1.06,7971,25839,0.0421,23.7,0,0,0,0,0,0,62.5,332915074
44619,41266.714,711,788.143,1.07,7834,25489,0.0418,23.9,0,0,0,0,0,0,62.5,332915074
42730,41655.571,270,769.571,1.08,7842,25553,0.0425,23.5,0,0,0,0,0,0,62.5,332915074
32302,41492.286,413,768.143,1.09,7857,26386,0.0448,22.3,0,0,0,0,0,0,62.5,332915074
37167,41628.286,1035,744.286,1.06,7862,26440,0.0445,22.5,0,0,0,0,0,0,62.5,332915074
41861,42041.429,1065,760,1.04,7861,26483,0.044,22.7,0,0,0,0,0,0,62.5,332915074
48421,42610.143,907,765.857,1.03,7830,26406,0.0441,22.7,0,0,0,0,0,0,62.5,332915074
47500,42085.714,915,759.429,1.02,7813,26274,0.0446,22.4,0,0,0,0,0,0,62.5,332915074
43028,41858.429,783,769.714,1.02,7796,25903,0.0449,22.3,0,0,0,0,0,0,62.5,332915074
34613,40698.857,312,775.714,1.02,8067,25970,0.045,22.2,0,0,0,0,0,0,62.5,332915074
37650,41462.857,341,765.429,1.01,7915,27021,0.0429,23.3,0,0,0,0,0,0,62.5,332915074
41701,42110.571,902,746.429,1.02,8043,27506,0.0436,22.9,0,0,0,0,0,0,62.5,332915074
38817,41675.714,932,727.429,1.03,8070,27668,0.0437,22.9,0,0,0,0,0,0,62.5,332915074
46301,41372.857,916,728.714,1.04,8005,27477,0.0434,23.1,0,0,0,0,0,0,62.5,332915074
53250,42194.286,841,718.143,1.05,7957,27408,0.0439,22.8,0,0,0,0,0,0,62.5,332915074
49154,43069.429,686,704.286,1.06,7964,27271,0.0445,22.5,0,0,0,0,0,0,62.5,332915074
33054,42846.714,369,712.429,1.06,8119,27871,0.0437,22.9,0,0,0,0,0,0,62.5,332915074
37458,42819.286,482,732.571,1.07,8332,28956,0.0437,22.9,0,0,0,0,0,0,62.5,332915074
44239,43181.857,701,703.857,1.09,8571,30005,0.0425,23.5,0,0,0,0,0,0,62.5,332915074
49359,44687.857,919,702,1.1,8638,30542,0.0429,23.3,0,0,0,0,0,0,62.5,332915074
57777,46327.286,982,711.429,1.11,8624,31014,0.0434,23,0,0,0,0,0,0,62.5,332915074
55284,46617.857,973,730.286,1.11,8723,31206,0.0425,23.6,0,0,0,0,0,0,62.5,332915074
55096,47466.714,660,726.571,1.11,8730,30982,0.0424,23.6,0,0,0,0,0,0,62.5,332915074
46204,49345.286,467,740.571,1.11,8819,31430,0.0434,23.1,0,0,0,0,0,0,62.5,332915074
43805,50252,398,728.571,1.11,9057,32779,0.0438,22.8,0,0,0,0,0,0,62.5,332915074
