new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,hosp_patients,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,population
2582,2372.857,109,114.714,0.82,789,3348,0.088,11.4,0,0,0,0,0,0,60.19,11632334
2503,2213.429,112,113.286,0.83,753,3163,0.086,11.6,0,0,0,0,0,0,60.19,11632334
1814,2165.286,66,110.429,0.84,744,3210,0.087,11.5,0,0,0,0,0,0,60.19,11632334
859,2181.429,66,105.857,0.86,724,3272,0.086,11.6,0,0,0,0,0,0,60.19,11632334
1957,2194.286,121,103,0.88,677,3136,0.084,11.9,0,0,0,0,0,0,60.19,11632334
3071,2198.714,96,98.857,0.89,662,3034,0.083,12,0,0,0,0,0,0,60.19,11632334
2754,2220,89,94.143,0.91,658,2961,0.082,12.2,0,0,0,0,0,0,60.19,11632334
0,1851.143,0,78.571,0.92,646,2896,0.081,12.3,0,0,0,0,0,0,60.19,11632334
2762,1888.143,100,76.857,0.95,627,2770,0.082,12.2,0,0,0,0,0,0,60.19,11632334
4978,2340.143,159,90.143,0.98,617,2861,0.082,12.2,0,0,0,0,0,0,60.19,11632334
1074,2370.857,103,95.429,0.98,615,2888,0.082,12.2,0,0,0,0,0,0,60.19,11632334
2211,2407.143,124,95.857,0.98,594,2772,0.082,12.2,0,0,0,0,0,0,60.19,11632334
3636,2487.857,100,96.429,0.97,571,2707,0.08,12.5,0,0,0,0,0,0,60.19,11632334
3146,2543.857,93,97,0.97,562,2683,0.079,12.7,0,0,0,0,0,0,60.19,11632334
2835,2948.857,84,109,0.96,547,2616,0.078,12.8,0,0,0,0,0,0,60.19,11632334
2721,2943,90,107.571,0.95,541,2523,0.076,13.2,0,0,0,0,0,0,60.19,11632334
2170,2541.857,81,96.429,0.94,543,2538,0.076,13.2,0,0,0,0,0,0,60.19,11632334
